timestamp,mode,framework,n_resources,component,cpu_millicores,mem_mib
2026-07-15T09:07:50+00:00,at-rest,all,0,crossplane-core,3,88
2026-07-15T09:07:50+00:00,at-rest,all,0,provider-kafka,2,37
2026-07-15T09:07:51+00:00,at-rest,all,0,provider-kubernetes,2,42
2026-07-15T09:07:51+00:00,at-rest,all,0,function-patch-and-transform,0,23
2026-07-15T09:07:51+00:00,at-rest,all,0,kubebuilder-controller,0,2.4
2026-07-15T09:07:57+00:00,at-rest,all,0,crossplane-core,3,88
2026-07-15T09:07:58+00:00,at-rest,all,0,provider-kafka,2,37
2026-07-15T09:07:58+00:00,at-rest,all,0,provider-kubernetes,2,42
2026-07-15T09:07:59+00:00,at-rest,all,0,function-patch-and-transform,0,23
2026-07-15T09:07:59+00:00,at-rest,all,0,kubebuilder-controller,0,2.4
2026-07-15T09:08:05+00:00,at-rest,all,0,crossplane-core,4,88
2026-07-15T09:08:05+00:00,at-rest,all,0,provider-kafka,3,37
2026-07-15T09:08:06+00:00,at-rest,all,0,provider-kubernetes,2,42
2026-07-15T09:08:06+00:00,at-rest,all,0,function-patch-and-transform,0,23
2026-07-15T09:08:06+00:00,at-rest,all,0,kubebuilder-controller,0,2.4
2026-07-15T09:08:12+00:00,at-rest,all,0,crossplane-core,4,88
2026-07-15T09:08:13+00:00,at-rest,all,0,provider-kafka,3,37
2026-07-15T09:08:13+00:00,at-rest,all,0,provider-kubernetes,2,42
2026-07-15T09:08:13+00:00,at-rest,all,0,function-patch-and-transform,0,23
2026-07-15T09:08:14+00:00,at-rest,all,0,kubebuilder-controller,0,2.4
2026-07-15T09:08:20+00:00,at-rest,all,0,crossplane-core,3,88
2026-07-15T09:08:20+00:00,at-rest,all,0,provider-kafka,2,37
2026-07-15T09:08:21+00:00,at-rest,all,0,provider-kubernetes,2,42
2026-07-15T09:08:21+00:00,at-rest,all,0,function-patch-and-transform,1,23
2026-07-15T09:08:21+00:00,at-rest,all,0,kubebuilder-controller,0,2.4
2026-07-15T09:08:27+00:00,at-rest,all,0,crossplane-core,3,88
2026-07-15T09:08:28+00:00,at-rest,all,0,provider-kafka,2,37
2026-07-15T09:08:28+00:00,at-rest,all,0,provider-kubernetes,2,42
2026-07-15T09:08:28+00:00,at-rest,all,0,function-patch-and-transform,1,23
2026-07-15T09:08:29+00:00,at-rest,all,0,kubebuilder-controller,0,2.4
2026-07-15T09:08:35+00:00,at-rest,all,0,crossplane-core,18,94
2026-07-15T09:08:35+00:00,at-rest,all,0,provider-kafka,2,37
2026-07-15T09:08:36+00:00,at-rest,all,0,provider-kubernetes,2,42
2026-07-15T09:08:36+00:00,at-rest,all,0,function-patch-and-transform,0,23
2026-07-15T09:08:36+00:00,at-rest,all,0,kubebuilder-controller,0,2.4
2026-07-15T09:08:42+00:00,at-rest,all,0,crossplane-core,18,94
2026-07-15T09:08:43+00:00,at-rest,all,0,provider-kafka,2,37
2026-07-15T09:08:43+00:00,at-rest,all,0,provider-kubernetes,2,42
2026-07-15T09:08:43+00:00,at-rest,all,0,function-patch-and-transform,0,23
2026-07-15T09:08:44+00:00,at-rest,all,0,kubebuilder-controller,0,2.4
2026-07-15T09:08:50+00:00,at-rest,all,0,crossplane-core,18,94
2026-07-15T09:08:50+00:00,at-rest,all,0,provider-kafka,2,37
2026-07-15T09:08:51+00:00,at-rest,all,0,provider-kubernetes,2,42
2026-07-15T09:08:51+00:00,at-rest,all,0,function-patch-and-transform,0,23
2026-07-15T09:08:51+00:00,at-rest,all,0,kubebuilder-controller,0,2.4
2026-07-15T09:08:57+00:00,at-rest,all,0,crossplane-core,18,94
2026-07-15T09:08:58+00:00,at-rest,all,0,provider-kafka,2,37
2026-07-15T09:08:58+00:00,at-rest,all,0,provider-kubernetes,2,42
2026-07-15T09:08:58+00:00,at-rest,all,0,function-patch-and-transform,0,23
2026-07-15T09:08:59+00:00,at-rest,all,0,kubebuilder-controller,0,2.4
2026-07-15T09:09:05+00:00,at-rest,all,0,crossplane-core,3,94
2026-07-15T09:09:05+00:00,at-rest,all,0,provider-kafka,4,37
2026-07-15T09:09:05+00:00,at-rest,all,0,provider-kubernetes,2,42
2026-07-15T09:09:06+00:00,at-rest,all,0,function-patch-and-transform,1,23
2026-07-15T09:09:06+00:00,at-rest,all,0,kubebuilder-controller,0,2.4
2026-07-15T09:09:12+00:00,at-rest,all,0,crossplane-core,3,94
2026-07-15T09:09:12+00:00,at-rest,all,0,provider-kafka,4,37
2026-07-15T09:09:13+00:00,at-rest,all,0,provider-kubernetes,2,42
2026-07-15T09:09:13+00:00,at-rest,all,0,function-patch-and-transform,1,23
2026-07-15T09:09:14+00:00,at-rest,all,0,kubebuilder-controller,0,2.4
2026-07-15T09:10:35+00:00,scale,crossplane,1,crossplane-core,21,88
2026-07-15T09:10:35+00:00,scale,crossplane,1,provider-kafka,3,37
2026-07-15T09:10:36+00:00,scale,crossplane,1,provider-kubernetes,6,42
2026-07-15T09:10:36+00:00,scale,crossplane,1,function-patch-and-transform,3,23
2026-07-15T09:10:42+00:00,scale,crossplane,1,crossplane-core,21,88
2026-07-15T09:10:42+00:00,scale,crossplane,1,provider-kafka,3,37
2026-07-15T09:10:42+00:00,scale,crossplane,1,provider-kubernetes,6,42
2026-07-15T09:10:43+00:00,scale,crossplane,1,function-patch-and-transform,3,23
2026-07-15T09:10:48+00:00,scale,crossplane,1,crossplane-core,3,88
2026-07-15T09:10:48+00:00,scale,crossplane,1,provider-kafka,3,37
2026-07-15T09:10:49+00:00,scale,crossplane,1,provider-kubernetes,2,42
2026-07-15T09:10:49+00:00,scale,crossplane,1,function-patch-and-transform,1,23
2026-07-15T09:10:54+00:00,scale,crossplane,1,crossplane-core,3,88
2026-07-15T09:10:55+00:00,scale,crossplane,1,provider-kafka,3,37
2026-07-15T09:10:55+00:00,scale,crossplane,1,provider-kubernetes,2,42
2026-07-15T09:10:55+00:00,scale,crossplane,1,function-patch-and-transform,1,23
2026-07-15T09:11:01+00:00,scale,crossplane,1,crossplane-core,3,88
2026-07-15T09:11:01+00:00,scale,crossplane,1,provider-kafka,3,37
2026-07-15T09:11:02+00:00,scale,crossplane,1,provider-kubernetes,2,42
2026-07-15T09:11:02+00:00,scale,crossplane,1,function-patch-and-transform,1,21
2026-07-15T09:11:07+00:00,scale,crossplane,1,crossplane-core,4,88
2026-07-15T09:11:08+00:00,scale,crossplane,1,provider-kafka,3,37
2026-07-15T09:11:08+00:00,scale,crossplane,1,provider-kubernetes,2,42
2026-07-15T09:11:08+00:00,scale,crossplane,1,function-patch-and-transform,1,21
2026-07-15T09:11:14+00:00,scale,crossplane,1,crossplane-core,4,88
2026-07-15T09:11:14+00:00,scale,crossplane,1,provider-kafka,3,37
2026-07-15T09:11:15+00:00,scale,crossplane,1,provider-kubernetes,2,42
2026-07-15T09:11:15+00:00,scale,crossplane,1,function-patch-and-transform,1,21
2026-07-15T09:11:20+00:00,scale,crossplane,1,crossplane-core,3,88
2026-07-15T09:11:21+00:00,scale,crossplane,1,provider-kafka,3,37
2026-07-15T09:11:21+00:00,scale,crossplane,1,provider-kubernetes,3,42
2026-07-15T09:11:21+00:00,scale,crossplane,1,function-patch-and-transform,0,21
2026-07-15T09:11:27+00:00,scale,crossplane,1,crossplane-core,3,88
2026-07-15T09:11:27+00:00,scale,crossplane,1,provider-kafka,3,37
2026-07-15T09:11:27+00:00,scale,crossplane,1,provider-kubernetes,3,42
2026-07-15T09:11:28+00:00,scale,crossplane,1,function-patch-and-transform,0,21
2026-07-15T09:11:33+00:00,scale,crossplane,1,crossplane-core,3,88
2026-07-15T09:11:33+00:00,scale,crossplane,1,provider-kafka,2,37
2026-07-15T09:11:34+00:00,scale,crossplane,1,provider-kubernetes,3,42
2026-07-15T09:11:34+00:00,scale,crossplane,1,function-patch-and-transform,0,21
2026-07-15T09:11:39+00:00,scale,crossplane,1,crossplane-core,3,88
2026-07-15T09:11:40+00:00,scale,crossplane,1,provider-kafka,2,37
2026-07-15T09:11:40+00:00,scale,crossplane,1,provider-kubernetes,3,42
2026-07-15T09:11:41+00:00,scale,crossplane,1,function-patch-and-transform,0,21
2026-07-15T09:11:46+00:00,scale,crossplane,1,crossplane-core,3,88
2026-07-15T09:11:46+00:00,scale,crossplane,1,provider-kafka,2,37
2026-07-15T09:11:47+00:00,scale,crossplane,1,provider-kubernetes,2,42
2026-07-15T09:11:47+00:00,scale,crossplane,1,function-patch-and-transform,1,21
2026-07-15T09:12:23+00:00,scale,crossplane,10,crossplane-core,101,88
2026-07-15T09:12:23+00:00,scale,crossplane,10,provider-kafka,19,39
2026-07-15T09:12:24+00:00,scale,crossplane,10,provider-kubernetes,64,42
2026-07-15T09:12:24+00:00,scale,crossplane,10,function-patch-and-transform,1,21
2026-07-15T09:12:30+00:00,scale,crossplane,10,crossplane-core,101,88
2026-07-15T09:12:30+00:00,scale,crossplane,10,provider-kafka,19,39
2026-07-15T09:12:30+00:00,scale,crossplane,10,provider-kubernetes,64,42
2026-07-15T09:12:31+00:00,scale,crossplane,10,function-patch-and-transform,1,21
2026-07-15T09:12:36+00:00,scale,crossplane,10,crossplane-core,101,88
2026-07-15T09:12:36+00:00,scale,crossplane,10,provider-kafka,4,41
2026-07-15T09:12:37+00:00,scale,crossplane,10,provider-kubernetes,2,42
2026-07-15T09:12:37+00:00,scale,crossplane,10,function-patch-and-transform,21,22
2026-07-15T09:12:43+00:00,scale,crossplane,10,crossplane-core,101,88
2026-07-15T09:12:43+00:00,scale,crossplane,10,provider-kafka,4,41
2026-07-15T09:12:43+00:00,scale,crossplane,10,provider-kubernetes,2,42
2026-07-15T09:12:44+00:00,scale,crossplane,10,function-patch-and-transform,21,22
2026-07-15T09:12:49+00:00,scale,crossplane,10,crossplane-core,3,88
2026-07-15T09:12:49+00:00,scale,crossplane,10,provider-kafka,4,41
2026-07-15T09:12:50+00:00,scale,crossplane,10,provider-kubernetes,2,42
2026-07-15T09:12:50+00:00,scale,crossplane,10,function-patch-and-transform,21,22
2026-07-15T09:12:56+00:00,scale,crossplane,10,crossplane-core,3,88
2026-07-15T09:12:56+00:00,scale,crossplane,10,provider-kafka,4,41
2026-07-15T09:12:56+00:00,scale,crossplane,10,provider-kubernetes,2,42
2026-07-15T09:12:57+00:00,scale,crossplane,10,function-patch-and-transform,21,22
2026-07-15T09:13:02+00:00,scale,crossplane,10,crossplane-core,4,88
2026-07-15T09:13:03+00:00,scale,crossplane,10,provider-kafka,2,41
2026-07-15T09:13:03+00:00,scale,crossplane,10,provider-kubernetes,2,42
2026-07-15T09:13:03+00:00,scale,crossplane,10,function-patch-and-transform,1,22
2026-07-15T09:13:09+00:00,scale,crossplane,10,crossplane-core,4,88
2026-07-15T09:13:09+00:00,scale,crossplane,10,provider-kafka,2,41
2026-07-15T09:13:10+00:00,scale,crossplane,10,provider-kubernetes,2,42
2026-07-15T09:13:10+00:00,scale,crossplane,10,function-patch-and-transform,1,22
2026-07-15T09:13:15+00:00,scale,crossplane,10,crossplane-core,4,88
2026-07-15T09:13:16+00:00,scale,crossplane,10,provider-kafka,2,41
2026-07-15T09:13:16+00:00,scale,crossplane,10,provider-kubernetes,2,42
2026-07-15T09:13:17+00:00,scale,crossplane,10,function-patch-and-transform,6,22
2026-07-15T09:13:22+00:00,scale,crossplane,10,crossplane-core,4,88
2026-07-15T09:13:22+00:00,scale,crossplane,10,provider-kafka,3,41
2026-07-15T09:13:23+00:00,scale,crossplane,10,provider-kubernetes,2,42
2026-07-15T09:13:23+00:00,scale,crossplane,10,function-patch-and-transform,6,22
2026-07-15T09:13:28+00:00,scale,crossplane,10,crossplane-core,4,88
2026-07-15T09:13:29+00:00,scale,crossplane,10,provider-kafka,3,41
2026-07-15T09:13:29+00:00,scale,crossplane,10,provider-kubernetes,2,42
2026-07-15T09:13:30+00:00,scale,crossplane,10,function-patch-and-transform,6,22
2026-07-15T09:13:35+00:00,scale,crossplane,10,crossplane-core,14,88
2026-07-15T09:13:35+00:00,scale,crossplane,10,provider-kafka,3,41
2026-07-15T09:13:36+00:00,scale,crossplane,10,provider-kubernetes,2,42
2026-07-15T09:13:36+00:00,scale,crossplane,10,function-patch-and-transform,2,22
2026-07-15T09:14:42+00:00,scale,crossplane,50,crossplane-core,236,133
2026-07-15T09:14:43+00:00,scale,crossplane,50,provider-kafka,41,43
2026-07-15T09:14:43+00:00,scale,crossplane,50,provider-kubernetes,69,45
2026-07-15T09:14:43+00:00,scale,crossplane,50,function-patch-and-transform,77,26
2026-07-15T09:14:49+00:00,scale,crossplane,50,crossplane-core,335,126
2026-07-15T09:14:49+00:00,scale,crossplane,50,provider-kafka,5,43
2026-07-15T09:14:50+00:00,scale,crossplane,50,provider-kubernetes,4,47
2026-07-15T09:14:50+00:00,scale,crossplane,50,function-patch-and-transform,2,27
2026-07-15T09:14:55+00:00,scale,crossplane,50,crossplane-core,335,126
2026-07-15T09:14:56+00:00,scale,crossplane,50,provider-kafka,5,43
2026-07-15T09:14:56+00:00,scale,crossplane,50,provider-kubernetes,4,47
2026-07-15T09:14:57+00:00,scale,crossplane,50,function-patch-and-transform,2,27
2026-07-15T09:15:02+00:00,scale,crossplane,50,crossplane-core,3,126
2026-07-15T09:15:02+00:00,scale,crossplane,50,provider-kafka,3,43
2026-07-15T09:15:03+00:00,scale,crossplane,50,provider-kubernetes,2,47
2026-07-15T09:15:03+00:00,scale,crossplane,50,function-patch-and-transform,0,27
2026-07-15T09:15:08+00:00,scale,crossplane,50,crossplane-core,3,126
2026-07-15T09:15:09+00:00,scale,crossplane,50,provider-kafka,3,43
2026-07-15T09:15:09+00:00,scale,crossplane,50,provider-kubernetes,2,47
2026-07-15T09:15:10+00:00,scale,crossplane,50,function-patch-and-transform,0,27
2026-07-15T09:15:15+00:00,scale,crossplane,50,crossplane-core,3,126
2026-07-15T09:15:15+00:00,scale,crossplane,50,provider-kafka,3,43
2026-07-15T09:15:16+00:00,scale,crossplane,50,provider-kubernetes,2,47
2026-07-15T09:15:16+00:00,scale,crossplane,50,function-patch-and-transform,0,27
2026-07-15T09:15:22+00:00,scale,crossplane,50,crossplane-core,9,126
2026-07-15T09:15:22+00:00,scale,crossplane,50,provider-kafka,8,43
2026-07-15T09:15:22+00:00,scale,crossplane,50,provider-kubernetes,2,47
2026-07-15T09:15:23+00:00,scale,crossplane,50,function-patch-and-transform,0,27
2026-07-15T09:15:28+00:00,scale,crossplane,50,crossplane-core,9,126
2026-07-15T09:15:28+00:00,scale,crossplane,50,provider-kafka,8,43
2026-07-15T09:15:29+00:00,scale,crossplane,50,provider-kubernetes,2,47
2026-07-15T09:15:29+00:00,scale,crossplane,50,function-patch-and-transform,0,27
2026-07-15T09:15:35+00:00,scale,crossplane,50,crossplane-core,13,126
2026-07-15T09:15:35+00:00,scale,crossplane,50,provider-kafka,6,44
2026-07-15T09:15:35+00:00,scale,crossplane,50,provider-kubernetes,3,47
2026-07-15T09:15:36+00:00,scale,crossplane,50,function-patch-and-transform,6,26
2026-07-15T09:15:41+00:00,scale,crossplane,50,crossplane-core,13,126
2026-07-15T09:15:41+00:00,scale,crossplane,50,provider-kafka,6,44
2026-07-15T09:15:42+00:00,scale,crossplane,50,provider-kubernetes,3,47
2026-07-15T09:15:42+00:00,scale,crossplane,50,function-patch-and-transform,6,26
2026-07-15T09:15:48+00:00,scale,crossplane,50,crossplane-core,36,124
2026-07-15T09:15:48+00:00,scale,crossplane,50,provider-kafka,4,44
2026-07-15T09:15:48+00:00,scale,crossplane,50,provider-kubernetes,3,47
2026-07-15T09:15:49+00:00,scale,crossplane,50,function-patch-and-transform,12,24
2026-07-15T09:15:54+00:00,scale,crossplane,50,crossplane-core,36,124
2026-07-15T09:15:55+00:00,scale,crossplane,50,provider-kafka,4,44
2026-07-15T09:15:55+00:00,scale,crossplane,50,provider-kubernetes,3,47
2026-07-15T09:15:55+00:00,scale,crossplane,50,function-patch-and-transform,12,24
2026-07-15T09:18:21+00:00,scale,crossplane,100,crossplane-core,392,231
2026-07-15T09:18:22+00:00,scale,crossplane,100,provider-kafka,11,40
2026-07-15T09:18:22+00:00,scale,crossplane,100,provider-kubernetes,3,51
2026-07-15T09:18:23+00:00,scale,crossplane,100,function-patch-and-transform,110,29
2026-07-15T09:18:28+00:00,scale,crossplane,100,crossplane-core,392,231
2026-07-15T09:18:29+00:00,scale,crossplane,100,provider-kafka,11,40
2026-07-15T09:18:29+00:00,scale,crossplane,100,provider-kubernetes,3,51
2026-07-15T09:18:29+00:00,scale,crossplane,100,function-patch-and-transform,110,29
2026-07-15T09:18:35+00:00,scale,crossplane,100,crossplane-core,265,207
2026-07-15T09:18:35+00:00,scale,crossplane,100,provider-kafka,6,40
2026-07-15T09:18:35+00:00,scale,crossplane,100,provider-kubernetes,4,53
2026-07-15T09:18:36+00:00,scale,crossplane,100,function-patch-and-transform,0,29
2026-07-15T09:18:41+00:00,scale,crossplane,100,crossplane-core,265,207
2026-07-15T09:18:42+00:00,scale,crossplane,100,provider-kafka,6,40
2026-07-15T09:18:42+00:00,scale,crossplane,100,provider-kubernetes,4,53
2026-07-15T09:18:42+00:00,scale,crossplane,100,function-patch-and-transform,0,29
2026-07-15T09:18:48+00:00,scale,crossplane,100,crossplane-core,5,207
2026-07-15T09:18:48+00:00,scale,crossplane,100,provider-kafka,6,40
2026-07-15T09:18:48+00:00,scale,crossplane,100,provider-kubernetes,3,53
2026-07-15T09:18:49+00:00,scale,crossplane,100,function-patch-and-transform,1,29
2026-07-15T09:18:54+00:00,scale,crossplane,100,crossplane-core,5,207
2026-07-15T09:18:55+00:00,scale,crossplane,100,provider-kafka,6,40
2026-07-15T09:18:55+00:00,scale,crossplane,100,provider-kubernetes,3,53
2026-07-15T09:18:55+00:00,scale,crossplane,100,function-patch-and-transform,1,29
2026-07-15T09:19:01+00:00,scale,crossplane,100,crossplane-core,5,207
2026-07-15T09:19:01+00:00,scale,crossplane,100,provider-kafka,6,40
2026-07-15T09:19:02+00:00,scale,crossplane,100,provider-kubernetes,3,53
2026-07-15T09:19:03+00:00,scale,crossplane,100,function-patch-and-transform,4,28
2026-07-15T09:19:08+00:00,scale,crossplane,100,crossplane-core,10,207
2026-07-15T09:19:09+00:00,scale,crossplane,100,provider-kafka,10,40
2026-07-15T09:19:09+00:00,scale,crossplane,100,provider-kubernetes,3,53
2026-07-15T09:19:09+00:00,scale,crossplane,100,function-patch-and-transform,4,28
2026-07-15T09:19:15+00:00,scale,crossplane,100,crossplane-core,10,207
2026-07-15T09:19:15+00:00,scale,crossplane,100,provider-kafka,10,40
2026-07-15T09:19:16+00:00,scale,crossplane,100,provider-kubernetes,3,53
2026-07-15T09:19:16+00:00,scale,crossplane,100,function-patch-and-transform,4,28
2026-07-15T09:19:21+00:00,scale,crossplane,100,crossplane-core,103,202
2026-07-15T09:19:22+00:00,scale,crossplane,100,provider-kafka,7,40
2026-07-15T09:19:22+00:00,scale,crossplane,100,provider-kubernetes,4,55
2026-07-15T09:19:23+00:00,scale,crossplane,100,function-patch-and-transform,18,28
2026-07-15T09:19:28+00:00,scale,crossplane,100,crossplane-core,103,202
2026-07-15T09:19:28+00:00,scale,crossplane,100,provider-kafka,7,40
2026-07-15T09:19:29+00:00,scale,crossplane,100,provider-kubernetes,4,55
2026-07-15T09:19:29+00:00,scale,crossplane,100,function-patch-and-transform,18,28
2026-07-15T09:19:35+00:00,scale,crossplane,100,crossplane-core,51,203
2026-07-15T09:19:35+00:00,scale,crossplane,100,provider-kafka,6,40
2026-07-15T09:19:35+00:00,scale,crossplane,100,provider-kubernetes,2,55
2026-07-15T09:19:36+00:00,scale,crossplane,100,function-patch-and-transform,30,28
